<<<<<<< HEAD
00 evb
01 DRBM
02 Orca
03 Madone
04 Ghostrider
05 Vince
07 Defy
08 Indy
09 Slice
0a Silk
0b Icon
0d Equinox
0e Blur
10 HiFi
11 Mojo
12 Rumblefish
13 Bullit
14 Epic
16 Aqua
22 OrcaS
20 SiFi
21 Sojo
06 Talon
50 Sandstorm
51 SandstormS
58 Prowl
59 Megatron
60 Steeljaw
61 SteeljawS
62 Pantera
63 Metallica
64 Brawn
65 BrawnFC
66 Grapple
67 Beachcomber
68 Sideswipe
69 Soundwave
6a Trailbreaker
6d Bombshell
6e Shockwave
6f Seaspray
70 Ratchet
71 Nirvana
72 EquinoxII
73 Mullet
74 Kiss
75 Pounce
76 SeasprayS
77 Vulcan
78 Vanquish
79 Vantage
7a Ironhide
7b Pounceport
7d Quellon
7e Sunderly 
